Vermessungsbuero	XXX	Auftrag										
Strasse	98											
12345	Irgendwo											
												
Job:	ISLA1	Name:										
Datum:10.07.2010												
Geraet:	TCRA1205+											
												
PNR	Class	CodeID	Rechts	Hoch	eHoehe	oHoehe	rms	E	rms	N	rms	H
	6.W1	MEAS	--------	148.848	-28.975	1	-0.27	0.005	0.005	0.005		
	6.W2	MEAS	--------	147.968	-28.655	1	-0.317	0.005	0.005	0.005		
	6.W3	MEAS	--------	146.825	-28.315	1	-0.347	0.005	0.004	0.004		
	6.W4	MEAS	--------	145.555	-27.831	1	-0.31	0.005	0.004	0.004		
	6.W5	MEAS	--------	144.354	-27.467	1	-0.345	0.005	0.004	0.004		
	6.W6	MEAS	--------	143.097	-27.012	1	-0.37	0.005	0.004	0.004		
	6.W7	MEAS	--------	141.878	-26.551	1	-0.418	0.005	0.004	0.004		
	6.W8	MEAS	--------	140.523	-26.139	1	-0.368	0.005	0.004	0.004		
	6.W9	MEAS	--------	138.96	-25.562	1	-0.434	0.005	0.004	0.004		
	6.W10	MEAS	--------	137.864	-25.199	1	-0.454	0.005	0.004	0.004		
	6.W11	MEAS	--------	136.9	-24.693	1	-0.5	0.005	0.004	0.004		
	6.W12	MEAS	--------	135.729	-24.511	1	-0.496	0.005	0.004	0.004		
	6.W13	MEAS	--------	134.477	-24.013	1	-0.506	0.005	0.004	0.004		
	6.W14	MEAS	--------	133.197	-23.556	1	-0.51	0.005	0.004	0.004		
	6.W15	MEAS	--------	131.845	-23.065	1	-0.536	0.005	0.004	0.004		
	6.W16	MEAS	--------	130.517	-22.589	1	-0.572	0.005	0.004	0.004		
	6.W17	MEAS	--------	129.185	-22.239	1	-0.601	0.005	0.004	0.004		
	6.W18	MEAS	--------	127.455	-21.71	1	-0.62	0.005	0.004	0.004		
	6.W19	MEAS	--------	125.994	-21.07	1	-0.59	0.005	0.004	0.004		
	6.W20	MEAS	--------	124.643	-20.506	1	-0.68	0.005	0.004	0.004		
	6.W21	MEAS	--------	123.016	-20.023	1	-0.668	0.005	0.004	0.004		
	6.W22	MEAS	--------	121.531	-19.526	1	-0.682	0.005	0.004	0.004		
	6.W23	MEAS	--------	120.345	-19.34	1	-0.668	0.005	0.004	0.004		
	6.W24	MEAS	--------	119.134	-19.019	1	-0.675	0.005	0.004	0.004		
	6.W25	MEAS	--------	117.826	-18.778	1	-0.673	0.005	0.004	0.003		
	6.W26	MEAS	--------	116.805	-18.567	1	-0.673	0.005	0.003	0.003		
	6.W27	MEAS	--------	115.656	-17.875	1	-0.715	0.005	0.003	0.003		
	6.W28	MEAS	--------	114.316	-17.242	1	-0.81	0.005	0.003	0.003		
	6.W29	MEAS	--------	113.323	-16.556	1	-0.86	0.005	0.003	0.003		
	6.W30	MEAS	--------	112.267	-16.033	1	-0.976	0.005	0.003	0.003		
	6.W31	MEAS	--------	111.277	-15.534	1	-1.029	0.005	0.003	0.003		
	6.W32	MEAS	--------	110.353	-14.901	1	-1.091	0.005	0.003	0.003		
	6.W33	MEAS	--------	109.36	-15.09	1	-1.114	0.005	0.003	0.003		
	6.W34	MEAS	--------	107.681	-14.75	1	-1.097	0.005	0.003	0.003		
	6.W35	MEAS	--------	106.576	-14.674	1	-1.182	0.005	0.003	0.003		
	6.W36	MEAS	--------	80.801	-14.948	1	-0.588	0.005	0.002	0.002		
	6.W37	MEAS	--------	81.565	-15.43	1	-0.71	0.005	0.002	0.002		
	6.W38	MEAS	--------	82.572	-16.035	1	-0.875	0.005	0.002	0.002		
	6.W39	MEAS	--------	84.557	-16.398	1	-0.964	0.005	0.002	0.002		
	6.W40	MEAS	--------	86.344	-16.259	1	-1.004	0.005	0.003	0.002		
	6.W41	MEAS	--------	89.323	-16.039	1	-1.073	0.005	0.003	0.003		
	6.W42	MEAS	--------	90.721	-16.413	1	-1.118	0.005	0.003	0.003		
	6.W43	MEAS	--------	91.23	-16.864	1	-1.269	0.005	0.003	0.003		
